Team Name,Team Leader Name,Solution Title
BitBash,Azhaan Ali Siddiqui,RespireX Early Tuberculosis Detection
Black_07,Aditya Kumar,EarlyDetect AI
Code Buddies,Rishi Raj,"AyushPredict: AI-Driven National Preventive Healthcare Platform"
Code Conquerors,Aryavarman Samantaray,Age specific Blockchain Based Food Health Verification Platform for Safe and Informed Nutrition in India
CodeCraft,Joshitha,"PharmaSecure: Blockchain-powered medicine verification for India's pharmacies and patients"
CodeZ,Sanchita Yadav,E-Arogya (Smart Health Care System)
Crypto Crew,Priyansh Singh,Mindset Architecture
Daligo,Atulya Jain,HEALINK
DataCore,Shreshtha Jha,Smart Medicine Reminder and Helper System
Genix,Khushi Roy,Sewa
HackStreet Boys,Poorvansh Jain,TriNetra
Ignite,Shreyash bhere,Emergency Health Care System
JanVision,Praharsh Srivastava,"JanVision: Smartphone-Based AI Diagnostic System for Early Keratoconus Detection via Corneal Reflection Analysis and Blockchain-Backed Accountability"
Methxai,Aniket Kumar,AI-Enhanced Smart Medicine Vending Machine
Noob Coders,Anurag Dubey,Missed Diagnosis AI safety net
Rage,Shreya Gupta,EarlySteps - Care that begins on time
Rooted,Mayank Agarwal,MedProof - Blockchain-Based Medicine Authenticity & Expiry Verification System
RunTime Terrors,GAURI NANDANA M.,Saukhyam - An AI driven health companion
Still Loading,Rakshit Raj,Nova Care
Team Alchemists,Priyanshu Yadav,Elixir - AI-driven health intelligence platform
TEAM PHOENIX,Krrish Ambwani,"AI-CareBridge: An Intelligent Virtual Health Assistant for Preliminary Diagnosis and Patient Engagement"
Team Svashakti,Aroosh Datta,"Sanjeevani, A Hyper-Local Rural Emergency Response & Community Health Network"
Team VEDA,Harshit Kumar,Rural Doc System
TechNova,Mansi kumari,National medical bill transparency platform
Vector_Z,Ashish Kumar,MediScanAI - AI Report Interpreter
Xcess Denied,Dhruv Bajpai,Sentience
